,track,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
97,She Don't Tell Me To,['Montgomery Gentry'],4SO0nnqRKg2sNfvEaEBs4w,0.459,0.703,5.0,-5.294,1.0,0.0338,0.0606,0.0,0.0889,0.39,159.856,187213.0,4.0
98,Have A Nice Day,['Bon Jovi'],06Zz2l7cVTCTgCNDe1bnEF,0.5,0.899,4.0,-4.066,1.0,0.0736,4.84e-05,0.000198,0.0794,0.566,130.06,229107.0,4.0
99,Comin' to Your City,['Big & Rich'],56EYmR9IrFKKYdygcKXrvH,0.559,0.944,9.0,-1.422,0.0,0.085,0.258,0.0,0.165,0.66,99.027,207133.0,4.0
100,Alive With the Glory of Love,['Say Anything'],1va84KD7DrxZ8U09Per4L8,0.338,0.93,9.0,-4.619,1.0,0.131,0.0111,0.0,0.172,0.589,203.101,255175.0,4.0
101,"Stay Fly (feat. Young Buck, Eightball & MJG)","['Three 6 Mafia', 'Young Buck', '8Ball', 'MJG']",5MYFw4T2gy52pOGBN4EYHS,0.789,0.881,11.0,-5.758,1.0,0.0331,0.109,0.0,0.355,0.647,133.299,236600.0,4.0
102,Cosas Buenas Que Parecen Malas,['Los Rehenes'],22gj9wemYAZa74lfk38eqN,0.663,0.668,5.0,-5.322,1.0,0.0292,0.242,1.47e-05,0.376,0.902,83.095,169147.0,3.0
103,"Baby, You Wouldn't Last A Minute On The Creek",['Chiodos'],6p4jnIWFWyLz0zUo2RD9iu,0.38,0.908,2.0,-6.425,0.0,0.193,0.0295,0.0,0.101,0.0974,97.613,280867.0,4.0
104,A Narnia Lullaby,['Harry Gregson-Williams'],03pWkKJjo8ATe0z4SWGzyd,0.231,0.174,5.0,-16.718,1.0,0.15,0.958,0.843,0.234,0.0322,91.125,72880.0,4.0
105,Cry Out To Jesus,['Third Day'],0HgDYi8pYbkYYvatcNsrQZ,0.34,0.619,0.0,-5.622,1.0,0.0354,0.264,0.0,0.143,0.242,146.207,282333.0,3.0
106,Til Kingdom Come,['Coldplay'],1wQXj5bgxyZQ2XmE2X9s6n,0.607,0.395,0.0,-9.593,1.0,0.0287,0.61,0.00768,0.33,0.274,115.068,250668.0,4.0
107,A Que No Le Pones,['Banda Brava'],6FKC71MS1b0mXoTSJizwty,0.439,0.419,9.0,-7.461,1.0,0.0948,0.541,2.66e-06,0.204,0.964,187.876,154424.0,3.0
108,Beer In Mexico,['Kenny Chesney'],5pgmgHNxiq9w9XuthMKzJS,0.58,0.906,2.0,-6.976,1.0,0.0405,0.00119,0.000579,0.0933,0.476,137.97,271813.0,4.0
109,You Make My Dreams (Come True),['Daryl Hall & John Oates'],2dlEdDEmuQsrcXaAL3Znzi,0.737,0.569,5.0,-6.702,1.0,0.0552,0.261,0.308,0.046,0.912,167.202,190707.0,4.0
110,Ni Tú Ni Nadie,['Mœnia'],16J6wH4Evm97ta1hDQIYQC,0.759,0.656,2.0,-6.598,1.0,0.04,0.0256,0.00705,0.346,0.554,132.019,219533.0,4.0
111,Zodiaccupuncture,['Aesop Rock'],2bZYV3XRxwLZpHdYMzLzM1,0.513,0.618,10.0,-7.139,0.0,0.413,0.0888,0.00329,0.123,0.496,74.779,261760.0,3.0
112,Soul Survivor,"['Jeezy', 'Akon']",0Ss50OU9tCozI7JIywkv14,0.682,0.483,10.0,-7.718,1.0,0.0451,0.00103,0.0,0.159,0.108,84.012,280013.0,4.0
113,Hips Don't Lie (feat. Wyclef Jean),"['Shakira', 'Wyclef Jean']",3ZFTkvIE7kyPt6Nu3PEa7V,0.778,0.824,10.0,-5.892,0.0,0.0707,0.284,0.0,0.405,0.758,100.024,218093.0,4.0
114,The Quidditch World Cup,['Patrick Doyle'],668l1jLhA5t4nYsSIvdPf1,0.389,0.539,8.0,-14.537,1.0,0.0563,0.132,0.684,0.377,0.355,129.877,111693.0,4.0
115,WE GOTTA POWER (2005 ver.) (ドラゴンボールZ),['Hironobu Kageyama'],0cVAQs1PBi5yyRBPh5nzGK,0.468,0.932,4.0,-5.069,0.0,0.0763,0.00127,0.0,0.262,0.703,169.943,232680.0,4.0
116,With a Smile (feat. Kelly Badon),"['South Border', 'Kelly Badon']",6XmskR1cMfgys1W7dExmgi,0.523,0.534,6.0,-8.942,1.0,0.0296,0.479,3.01e-05,0.111,0.508,75.988,264413.0,4.0
117,Good Directions,['Billy Currington'],7GQjJEwqlp6m5HNWVQd6OR,0.716,0.72,5.0,-2.183,1.0,0.0319,0.307,0.0,0.135,0.464,122.512,215853.0,4.0
118,Blue Orchid,['The White Stripes'],4jU7NPkz4HVnM4hweqNhI1,0.481,0.645,10.0,-8.535,0.0,0.318,0.0863,6.2e-06,0.332,0.612,151.307,157560.0,4.0
119,How We Do,"['The Game', '50 Cent']",4PmMVdIFpJTB9WQbmILf4p,0.862,0.648,4.0,-7.401,0.0,0.251,0.0455,0.0,0.0332,0.637,98.012,235533.0,4.0
120,Axel F,['Crazy Frog'],0Bo5fjMtTfCD8vHGebivqc,0.86,0.907,2.0,-3.321,1.0,0.0407,0.279,0.693,0.0648,0.786,138.045,168880.0,4.0
121,I'm N Luv (Wit a Stripper) (feat. Mike Jones),"['T-Pain', 'Mike Jones']",2QurCbkPO14pjrikPNja0h,0.739,0.368,8.0,-10.233,1.0,0.0845,0.00542,0.0,0.171,0.467,144.992,239413.0,4.0
122,"Nocturne No.2 In E Flat, Op.9 No.2","['Frédéric Chopin', 'Maurizio Pollini']",503fwzlbWHx5g0CqlU9Giu,0.331,0.00922,10.0,-30.88,1.0,0.041,0.993,0.953,0.102,0.0713,132.883,242587.0,3.0
123,Pon de Replay,['Rihanna'],4TsmezEQVSZNNPv5RJ65Ov,0.779,0.64,7.0,-8.415,1.0,0.159,0.000155,0.00077,0.101,0.498,99.019,246960.0,4.0
124,"Liz On Top Of The World - From ""Pride & Prejudice"" Soundtrack",['Jean-Yves Thibaudet'],6QuCKdMsTW8ppnUiFmxJLF,0.217,0.117,3.0,-21.398,1.0,0.0374,0.975,0.911,0.0573,0.0388,46.755,82773.0,3.0
125,Cupid's Chokehold / Breakfast in America,['Gym Class Heroes'],2Lhdl74nwwVGOE2Gv35QuK,0.72,0.744,1.0,-6.938,0.0,0.12,0.237,0.0,0.255,0.619,78.953,243773.0,4.0
126,No Te Preocupes por Mi,['Chayanne'],0NN9TRTvceycUm8wq30yk8,0.7,0.874,10.0,-4.436,0.0,0.0554,0.0118,0.0,0.0536,0.909,98.021,208133.0,4.0
127,No Sé por Qué,['Chayanne'],1DZpNdAC4VRIuRq1LF07PH,0.604,0.686,2.0,-4.884,1.0,0.0287,0.14,0.0,0.07,0.266,127.959,259933.0,4.0
128,La Ametralladora,['El Halcon De La Sierra'],3GBwsTdUEl45e7VeiVmq4A,0.718,0.508,7.0,-6.873,1.0,0.0509,0.462,2.81e-06,0.372,0.993,129.85,152107.0,4.0
129,Yo Sé Que Te Acordarás,['Banda El Recodo'],21Pr1VcMqYrK2VOIWqzkNk,0.524,0.329,10.0,-7.213,1.0,0.0342,0.721,0.0,0.266,0.749,89.076,191667.0,4.0
130,Tình ta biển bạc đồng xanh,['Anh Thơ'],27o9T6Naut7ELA4PxfbWXA,0.508,0.451,7.0,-6.079,0.0,0.0283,0.736,0.0,0.249,0.394,126.906,315193.0,3.0
131,No More Pain,['2Pac'],5nvpdRzN4VvBE11WHcbYWJ,0.717,0.906,9.0,-6.017,1.0,0.0899,0.0202,0.0625,0.312,0.859,77.012,374800.0,4.0
132,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,['Panic! At The Disco'],5eB7w8UZJKjL5XmnC6Pctg,0.66,0.8,8.0,-4.644,1.0,0.0992,0.106,0.0,0.154,0.476,125.966,200227.0,4.0
133,Alguien Te Va A Hacer Llorar,['Intocable'],1OYoXMNCUYlpDyMONw2sNc,0.721,0.591,6.0,-7.611,0.0,0.0403,0.39,0.0,0.135,0.916,125.118,249413.0,4.0
134,Candy Shop,"['50 Cent', 'Olivia']",5D2mYZuzcgjpchVY1pmTPh,0.614,0.574,11.0,-7.961,1.0,0.466,0.0253,3.2e-05,0.38,0.755,125.173,209107.0,5.0
135,The First Cut Is the Deepest - Acoustic Version,['Sheryl Crow'],4PzPvpE63ttEbKyMDRWB6q,0.638,0.336,2.0,-7.52,1.0,0.0248,0.759,0.0,0.0728,0.567,78.86,230973.0,4.0
136,The Only Difference Between Martyrdom and Suicide Is Press Coverage,['Panic! At The Disco'],4WdopfTdSd0nCLropjhsgH,0.501,0.933,6.0,-3.476,0.0,0.198,0.0457,0.0,0.376,0.708,170.13,174867.0,4.0
137,Hate It Or Love It - G-Unit Remix,"['50 Cent', 'The Game', 'Tony Yayo', 'Young Buck', 'Lloyd Banks']",6TYPoBrn53njY2C0WwdmA1,0.799,0.76,2.0,-3.318,1.0,0.222,0.271,0.0,0.185,0.543,99.994,263787.0,4.0
138,I Will Follow You into the Dark,['Death Cab for Cutie'],3kZC0ZmFWrEHdUCmUqlvgZ,0.517,0.206,5.0,-12.233,1.0,0.0421,0.924,0.0,0.118,0.489,80.401,189187.0,4.0
139,Right Here,['Staind'],6S7mmHgyWOG6pIYuL4YrfQ,0.492,0.646,10.0,-5.334,0.0,0.0303,0.00136,2.21e-05,0.121,0.214,112.228,253933.0,4.0
140,How Long Do I Have to Wait for You?,['Sharon Jones & The Dap-Kings'],113bLFbp3F9MVN0w2KJ1ma,0.674,0.909,10.0,-3.369,0.0,0.0464,0.469,0.0131,0.105,0.969,103.942,243760.0,4.0
141,Over My Head (Cable Car),['The Fray'],1N62wozuHCvczCkY4QidpP,0.592,0.729,8.0,-4.156,1.0,0.0448,0.022,0.0,0.0653,0.709,116.03,236267.0,4.0
142,Play,['David Banner'],5CWyE2OcZI1HVnHBh4RrKF,0.837,0.658,1.0,-8.013,0.0,0.126,0.000213,0.122,0.243,0.586,95.027,230133.0,4.0
143,"Dawn - From ""Pride & Prejudice"" Soundtrack","['Dario Marianelli', 'Jean-Yves Thibaudet']",2k2MprlqkmDMKKOOWGREzW,0.332,0.0525,0.0,-24.1,1.0,0.0388,0.991,0.891,0.0683,0.097,78.853,158600.0,3.0
144,Foxtrot Uniform Charlie Kilo,['Bloodhound Gang'],6uGQKWdjmKvgH1QdDCcM8N,0.767,0.599,10.0,-5.176,0.0,0.0404,0.00436,0.0381,0.0714,0.788,137.035,171973.0,4.0
145,"Te He Querido, Te He Llorado",['Ivy Queen'],61HuVAedKGMO7jWl8ZyALQ,0.771,0.85,11.0,-5.985,0.0,0.0558,0.334,1.87e-06,0.122,0.586,94.991,253893.0,4.0
