Unnamed: 0,match,billboard_track,spotify_track,billboard_artist,spotify_artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,weeks
97,0.6944444444444444,Hands Tied,Hands Tied,Scandal Featuring Patty Smyth,['Scandal'],2u8UXlW2LVuBNcpkAyxQPr,0.577,0.738,7.0,-11.426,1.0,0.0473,0.0283,0.0,0.0495,0.537,119.74,246800.0,4.0,10.0
33,1.0,The Belle Of St. Mark,The Belle of St. Mark,Sheila E.,['Sheila E.'],5I0620xa6ecXZinsDUUcYF,0.612,0.806,1.0,-7.456,1.0,0.0479,0.0319,1.44e-06,0.168,0.676,79.142,306573.0,4.0,9.0
5,1.0,We Belong,We Belong,Pat Benatar,['Pat Benatar'],665Jxlgi1HamPKbW1vwzx4,0.706,0.322,5.0,-14.108,1.0,0.0467,0.528,2.37e-06,0.576,0.305,135.154,221133.0,4.0,9.0
91,1.0,Believe In Me,Believe In Me,Dan Fogelberg,['Dan Fogelberg'],3YnoRANvisc9OL9LTjQWYJ,0.415,0.175,9.0,-15.999,1.0,0.0275,0.59,0.0,0.198,0.266,130.616,274000.0,4.0,9.0
58,0.9838709677419356,I Do'wanna Know,I Do' Wanna Know,REO Speedwagon,['REO Speedwagon'],1DXB8roW8kLNA928D4DEjU,0.459,0.926,2.0,-9.66,1.0,0.0495,0.00276,0.668,0.279,0.882,150.101,253027.0,4.0,9.0
95,0.7926829268292683,For A Rocker,For a Dancer - Single Version,Jackson Browne,['Jackson Browne'],2AkbpHqE8STBmNDekA4Uxa,0.531,0.469,0.0,-8.734,1.0,0.0236,0.0579,0.0,0.0782,0.501,104.991,288667.0,4.0,9.0
37,0.875,(Pride) In The Name Of Love,Pride (In The Name Of Love) - Remastered 2009,U2,['U2'],3dh2LlmeMqKJbzn2WUgt3d,0.458,0.843,4.0,-7.201,1.0,0.0316,0.00135,0.000296,0.778,0.713,105.701,228427.0,4.0,9.0
92,1.0,Walking In My Sleep,Walking in My Sleep,Roger Daltrey,['Roger Daltrey'],3aBNmGvg85AFXcvBXu6OJ6,0.643,0.45,11.0,-16.634,0.0,0.0317,0.35,0.271,0.124,0.732,107.525,208853.0,4.0,9.0
83,1.0,You Take Me Up,You Take Me Up,Thompson Twins,['Thompson Twins'],7Kvr4zY7aNcHzhXHmLxVN1,0.7,0.548,5.0,-13.849,1.0,0.0443,0.587,0.0,0.0699,0.854,104.553,266160.0,4.0,9.0
29,1.0,Stranger In Town,Stranger In Town,Toto,['TOTO'],4wcrWfOjVNYoznqCKfu9d1,0.599,0.667,2.0,-16.013,0.0,0.0329,0.0957,0.474,0.101,0.762,154.917,287067.0,4.0,9.0
