Unnamed: 0,match,billboard_track,spotify_track,billboard_artist,spotify_artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,weeks
96,0.3355263157894737,Me Niego,Me Niego (feat. Ozuna & Wisin),Reik Featuring Ozuna & Wisin,"['Reik', 'Ozuna', 'Wisin']",4ggiDYAkJ7Yk8d5xOr7Xjo,0.777,0.782,0.0,-4.435,0.0,0.0907,0.0505,0.0,0.64,0.773,94.023,221653.0,4.0,3.0
78,0.5636856368563685,XXX.,XXX. FEAT. U2.,Kendrick Lamar Featuring U2,"['Kendrick Lamar', 'U2']",4iYRa2btalAzPZoSYfROqF,0.568,0.619,1.0,-6.899,1.0,0.414,0.138,1.67e-06,0.11,0.293,170.115,254200.0,4.0,3.0
70,0.3906455862977602,Determinate,"Determinate - From ""Lemonade Mouth""","Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko","['Adam Hicks', 'Bridgit Mendler', 'Naomi Scott', 'Hayley Kiyoko']",4qEoqyPbLYnLOii6mKlIjI,0.562,0.768,1.0,-5.006,0.0,0.0488,0.00361,0.0,0.0742,0.218,139.968,198107.0,4.0,3.0
82,0.86,Ignorantes,Ignorantes,Bad Bunny & Sech,"['Bad Bunny', 'Sech']",3wYRLYuO1M88d8woWUIxct,0.85,0.536,1.0,-5.161,1.0,0.0599,0.267,3.89e-05,0.0996,0.505,96.029,210607.0,4.0,3.0
98,0.9166666666666669,B*tch From da Souf,B*tch From Da Souf,Mulatto,['Latto'],6tLWt7gkvvTSjS6OfJjiyJ,0.862,0.235,1.0,-15.545,1.0,0.699,0.0241,0.0,0.123,0.398,150.062,144048.0,4.0,3.0
92,0.6072874493927125,None Of Your Concern,None Of Your Concern (feat. Big Sean),Jhene Aiko Featuring Big Sean,"['Jhené Aiko', 'Big Sean']",75MSZRbAbQuzfUV3Pefvut,0.437,0.517,9.0,-9.329,0.0,0.225,0.856,0.0,0.109,0.373,82.757,259387.0,4.0,3.0
84,1.0,Rumour Has It / Someone Like You,Rumour Has It / Someone Like You,Glee Cast,['Glee Cast'],5iYUt3rsgrGFU0nugdhYwj,0.64,0.896,6.0,-3.221,0.0,0.079,0.275,0.0,0.147,0.751,123.071,207947.0,4.0,3.0
95,1.0,No Time To Die,No Time To Die,Billie Eilish,['Billie Eilish'],73SpzrcaHk0RQPFP73vqVR,0.38,0.219,4.0,-13.273,0.0,0.0358,0.917,0.0104,0.0827,0.0517,73.537,242265.0,4.0,3.0
75,0.3434175531914893,Numbers,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)","A Boogie Wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track","['A Boogie Wit da Hoodie', 'London On Da Track', 'Roddy Ricch', 'Gunna']",733c1CWmIGymoQXdp7Us88,0.819,0.654,11.0,-6.665,0.0,0.136,0.517,0.0,0.0996,0.455,133.503,188563.0,4.0,3.0
99,0.2665639445300462,Welcome To The Party,"Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2","Diplo, French Montana & Lil Pump Featuring Zhavia Ward","['Diplo', 'French Montana', 'Lil Pump', 'Zhavia Ward']",5mqzhMuUpvnMfwNz6iepmO,0.618,0.845,2.0,0.175,1.0,0.132,0.114,0.0,0.415,0.486,171.921,181720.0,4.0,3.0
